CDate,Vteam,Hteam
Fri Dec 29 2017,Los Angeles Clippers,Los Angeles Lakers
Fri Dec 29 2017,Brooklyn Nets,Miami Heat
Fri Dec 29 2017,Dallas Mavericks,New Orleans Pelicans
Fri Dec 29 2017,Milwaukee Bucks,Oklahoma City Thunder
Fri Dec 29 2017,Phoenix Suns,Sacramento Kings
Fri Dec 29 2017,Atlanta Hawks,Toronto Raptors
Fri Dec 29 2017,Houston Rockets,Washington Wizards
Sat Dec 30 2017,Portland Trail Blazers,Atlanta Hawks
Sat Dec 30 2017,Philadelphia 76ers,Denver Nuggets
Sat Dec 30 2017,San Antonio Spurs,Detroit Pistons
Sat Dec 30 2017,Memphis Grizzlies,Golden State Warriors
Sat Dec 30 2017,New York Knicks,New Orleans Pelicans
Sat Dec 30 2017,Miami Heat,Orlando Magic
Sat Dec 30 2017,Cleveland Cavaliers,Utah Jazz
Sun Dec 31 2017,Brooklyn Nets,Boston Celtics
Sun Dec 31 2017,Los Angeles Lakers,Houston Rockets
Sun Dec 31 2017,Minnesota Timberwolves,Indiana Pacers
Sun Dec 31 2017,Charlotte Hornets,Los Angeles Clippers
Sun Dec 31 2017,Dallas Mavericks,Oklahoma City Thunder
Sun Dec 31 2017,Philadelphia 76ers,Phoenix Suns
Sun Dec 31 2017,Memphis Grizzlies,Sacramento Kings
Sun Dec 31 2017,Chicago Bulls,Washington Wizards
Mon Jan 1 2018,Orlando Magic,Brooklyn Nets
Mon Jan 1 2018,Portland Trail Blazers,Chicago Bulls
Mon Jan 1 2018,Los Angeles Lakers,Minnesota Timberwolves
Mon Jan 1 2018,Milwaukee Bucks,Toronto Raptors
Tue Jan 2 2018,Portland Trail Blazers,Cleveland Cavaliers
Tue Jan 2 2018,Memphis Grizzlies,Los Angeles Clippers
Tue Jan 2 2018,San Antonio Spurs,New York Knicks
Tue Jan 2 2018,Atlanta Hawks,Phoenix Suns
Tue Jan 2 2018,Charlotte Hornets,Sacramento Kings
Wed Jan 3 2018,Cleveland Cavaliers,Boston Celtics
Wed Jan 3 2018,Minnesota Timberwolves,Brooklyn Nets
Wed Jan 3 2018,Toronto Raptors,Chicago Bulls
Wed Jan 3 2018,Golden State Warriors,Dallas Mavericks
Wed Jan 3 2018,Phoenix Suns,Denver Nuggets
Wed Jan 3 2018,Oklahoma City Thunder,Los Angeles Lakers
Wed Jan 3 2018,Detroit Pistons,Miami Heat
Wed Jan 3 2018,Indiana Pacers,Milwaukee Bucks
Wed Jan 3 2018,Houston Rockets,Orlando Magic
Wed Jan 3 2018,San Antonio Spurs,Philadelphia 76ers
Wed Jan 3 2018,New Orleans Pelicans,Utah Jazz
Wed Jan 3 2018,New York Knicks,Washington Wizards
Thu Jan 4 2018,Golden State Warriors,Houston Rockets
Thu Jan 4 2018,Oklahoma City Thunder,Los Angeles Clippers
Fri Jan 5 2018,Minnesota Timberwolves,Boston Celtics
Fri Jan 5 2018,Chicago Bulls,Dallas Mavericks
Fri Jan 5 2018,Utah Jazz,Denver Nuggets
Fri Jan 5 2018,Charlotte Hornets,Los Angeles Lakers
Fri Jan 5 2018,Washington Wizards,Memphis Grizzlies
Fri Jan 5 2018,New York Knicks,Miami Heat
Fri Jan 5 2018,Toronto Raptors,Milwaukee Bucks
Fri Jan 5 2018,Detroit Pistons,Philadelphia 76ers
Fri Jan 5 2018,Atlanta Hawks,Portland Trail Blazers
Fri Jan 5 2018,Phoenix Suns,San Antonio Spurs
Sat Jan 6 2018,Boston Celtics,Brooklyn Nets
Sat Jan 6 2018,Houston Rockets,Detroit Pistons
Sat Jan 6 2018,Chicago Bulls,Indiana Pacers
Sat Jan 6 2018,Golden State Warriors,Los Angeles Clippers
Sat Jan 6 2018,New Orleans Pelicans,Minnesota Timberwolves
Sat Jan 6 2018,Cleveland Cavaliers,Orlando Magic
Sat Jan 6 2018,Denver Nuggets,Sacramento Kings
Sat Jan 6 2018,Milwaukee Bucks,Washington Wizards
Sun Jan 7 2018,New York Knicks,Dallas Mavericks
Sun Jan 7 2018,Atlanta Hawks,Los Angeles Lakers
Sun Jan 7 2018,Utah Jazz,Miami Heat
Sun Jan 7 2018,Oklahoma City Thunder,Phoenix Suns
Sun Jan 7 2018,San Antonio Spurs,Portland Trail Blazers
Mon Jan 8 2018,Toronto Raptors,Brooklyn Nets
Mon Jan 8 2018,Houston Rockets,Chicago Bulls
Mon Jan 8 2018,Denver Nuggets,Golden State Warriors
Mon Jan 8 2018,Milwaukee Bucks,Indiana Pacers
Mon Jan 8 2018,Atlanta Hawks,Los Angeles Clippers
Mon Jan 8 2018,Cleveland Cavaliers,Minnesota Timberwolves
Mon Jan 8 2018,Detroit Pistons,New Orleans Pelicans
Mon Jan 8 2018,San Antonio Spurs,Sacramento Kings
Tue Jan 9 2018,Orlando Magic,Dallas Mavericks
Tue Jan 9 2018,Sacramento Kings,Los Angeles Lakers
Tue Jan 9 2018,Portland Trail Blazers,Oklahoma City Thunder
Tue Jan 9 2018,Miami Heat,Toronto Raptors
Wed Jan 10 2018,Detroit Pistons,Brooklyn Nets
Wed Jan 10 2018,Dallas Mavericks,Charlotte Hornets
Wed Jan 10 2018,Atlanta Hawks,Denver Nuggets
Wed Jan 10 2018,Los Angeles Clippers,Golden State Warriors
Wed Jan 10 2018,Portland Trail Blazers,Houston Rockets
Wed Jan 10 2018,Miami Heat,Indiana Pacers
Wed Jan 10 2018,New Orleans Pelicans,Memphis Grizzlies
Wed Jan 10 2018,Orlando Magic,Milwaukee Bucks
Wed Jan 10 2018,Oklahoma City Thunder,Minnesota Timberwolves
Wed Jan 10 2018,Chicago Bulls,New York Knicks
Wed Jan 10 2018,Utah Jazz,Washington Wizards
Thu Jan 11 2018,San Antonio Spurs,Los Angeles Lakers
Thu Jan 11 2018,Boston Celtics,Philadelphia 76ers
Thu Jan 11 2018,Los Angeles Clippers,Sacramento Kings
Thu Jan 11 2018,Cleveland Cavaliers,Toronto Raptors
Fri Jan 12 2018,Brooklyn Nets,Atlanta Hawks
Fri Jan 12 2018,Utah Jazz,Charlotte Hornets
Fri Jan 12 2018,Memphis Grizzlies,Denver Nuggets
Fri Jan 12 2018,Cleveland Cavaliers,Indiana Pacers
Fri Jan 12 2018,Golden State Warriors,Milwaukee Bucks
Fri Jan 12 2018,New York Knicks,Minnesota Timberwolves
Fri Jan 12 2018,Portland Trail Blazers,New Orleans Pelicans
Fri Jan 12 2018,Houston Rockets,Phoenix Suns
Fri Jan 12 2018,Orlando Magic,Washington Wizards
Sat Jan 13 2018,Detroit Pistons,Chicago Bulls
Sat Jan 13 2018,Oklahoma City Thunder,Charlotte Hornets
Sat Jan 13 2018,Los Angeles Lakers,Dallas Mavericks
Sat Jan 13 2018,Sacramento Kings,Los Angeles Clippers
Sat Jan 13 2018,Denver Nuggets,San Antonio Spurs
Sat Jan 13 2018,Golden State Warriors,Toronto Raptors
Sat Jan 13 2018,Brooklyn Nets,Washington Wizards
Sun Jan 14 2018,Milwaukee Bucks,Miami Heat
Sun Jan 14 2018,Portland Trail Blazers,Minnesota Timberwolves
Sun Jan 14 2018,New Orleans Pelicans,New York Knicks
Sun Jan 14 2018,Indiana Pacers,Phoenix Suns
Mon Jan 15 2018,San Antonio Spurs,Atlanta Hawks
Mon Jan 15 2018,New York Knicks,Brooklyn Nets
Mon Jan 15 2018,Miami Heat,Chicago Bulls
Mon Jan 15 2018,Golden State Warriors,Cleveland Cavaliers
Mon Jan 15 2018,Charlotte Hornets,Detroit Pistons
Mon Jan 15 2018,Houston Rockets,Los Angeles Clippers
Mon Jan 15 2018,Los Angeles Lakers,Memphis Grizzlies
Mon Jan 15 2018,Sacramento Kings,Oklahoma City Thunder
Mon Jan 15 2018,Toronto Raptors,Philadelphia 76ers
Mon Jan 15 2018,Indiana Pacers,Utah Jazz
Mon Jan 15 2018,Milwaukee Bucks,Washington Wizards
Tue Jan 16 2018,New Orleans Pelicans,Boston Celtics
Tue Jan 16 2018,Dallas Mavericks,Denver Nuggets
Tue Jan 16 2018,Minnesota Timberwolves,Orlando Magic
Tue Jan 16 2018,Phoenix Suns,Portland Trail Blazers
Wed Jan 17 2018,New Orleans Pelicans,Atlanta Hawks
Wed Jan 17 2018,San Antonio Spurs,Brooklyn Nets
Wed Jan 17 2018,Golden State Warriors,Chicago Bulls
Wed Jan 17 2018,Washington Wizards,Charlotte Hornets
