date,win,lose,probability
Mon Dec 25 2017,Oklahoma City Thunder,Houston Rockets,0.78604791831965726
Tue Dec 26 2017,Toronto Raptors,Dallas Mavericks,0.62270151811334373
Tue Dec 26 2017,Utah Jazz,Denver Nuggets,0.63185438932095861
Tue Dec 26 2017,Indiana Pacers,Detroit Pistons,0.52715443088600011
Tue Dec 26 2017,Los Angeles Clippers,Sacramento Kings,0.81083237895401983
Tue Dec 26 2017,Miami Heat,Orlando Magic,0.75846059139433497
Tue Dec 26 2017,Chicago Bulls,Milwaukee Bucks,0.58662335147772893
Tue Dec 26 2017,Memphis Grizzlies,Phoenix Suns,0.65021800678333019
Tue Dec 26 2017,San Antonio Spurs,Brooklyn Nets,0.95904674690327285
Wed Dec 27 2017,Atlanta Hawks,Washington Wizards,0.65107367101865177
Wed Dec 27 2017,Chicago Bulls,New York Knicks,0.74616932935764069
Wed Dec 27 2017,Charlotte Hornets,Boston Celtics,0.54040436777074519
Wed Dec 27 2017,Golden State Warriors,Utah Jazz,0.89084970280949716
Wed Dec 27 2017,Indiana Pacers,Dallas Mavericks,0.63197943676320167
Wed Dec 27 2017,Memphis Grizzlies,Los Angeles Lakers,0.71175687091930673
Wed Dec 27 2017,Denver Nuggets,Minnesota Timberwolves,0.53943101386557535
Wed Dec 27 2017,New Orleans Pelicans,Brooklyn Nets,0.67612380198020205
Wed Dec 27 2017,Oklahoma City Thunder,Toronto Raptors,0.63683904024773019
Wed Dec 27 2017,Cleveland Cavaliers,Sacramento Kings,0.83387211511537029
Thu Dec 28 2017,Boston Celtics,Houston Rockets,0.64856581295158988
Thu Dec 28 2017,Minnesota Timberwolves,Milwaukee Bucks,0.52797837250962876
Thu Dec 28 2017,Detroit Pistons,Orlando Magic,0.59611230091870615
Thu Dec 28 2017,Portland Trail Blazers,Philadelphia 76ers,0.93678225907317403
Thu Dec 28 2017,San Antonio Spurs,New York Knicks,0.93133091027820847
Fri Dec 29 2017,Indiana Pacers,Chicago Bulls,0.51511712684817512
Fri Dec 29 2017,Golden State Warriors,Charlotte Hornets,0.82880758857727121
Fri Dec 29 2017,Los Angeles Clippers,Los Angeles Lakers,0.8732974176591104
Fri Dec 29 2017,Miami Heat,Brooklyn Nets,0.88938037721703533
Fri Dec 29 2017,Dallas Mavericks,New Orleans Pelicans,0.62506142914716945
Fri Dec 29 2017,Oklahoma City Thunder,Milwaukee Bucks,0.88090476619359825
Fri Dec 29 2017,Sacramento Kings,Phoenix Suns,0.69507644429054305
Fri Dec 29 2017,Toronto Raptors,Atlanta Hawks,0.64977610569596145
Fri Dec 29 2017,Washington Wizards,Houston Rockets,0.52768992938835213
Sat Dec 30 2017,Atlanta Hawks,Portland Trail Blazers,0.52340403559068582
Sat Dec 30 2017,Denver Nuggets,Philadelphia 76ers,0.80122940968170975
Sat Dec 30 2017,San Antonio Spurs,Detroit Pistons,0.80155889751085696
Sat Dec 30 2017,Golden State Warriors,Memphis Grizzlies,0.92090748508497933
Sat Dec 30 2017,New Orleans Pelicans,New York Knicks,0.54731346044503693
Sat Dec 30 2017,Miami Heat,Orlando Magic,0.64717717062760627
Sat Dec 30 2017,Cleveland Cavaliers,Utah Jazz,0.71261114965692185
Sun Dec 31 2017,Boston Celtics,Brooklyn Nets,0.88373839591441705
Sun Dec 31 2017,Houston Rockets,Los Angeles Lakers,0.87285057021191803
